id,contents,from_address_id,to_address_id
166,"Quilting ruler",8455,9498
167,"Stationery set",6816,8693
168,Stapler,3450,1854
169,Sketchpad,7269,7427
170,Sandpaper,110,1133
171,"Plastic containers",1133,412
172,"Tissue paper",7634,8963
173,"Paper plates",4994,2931
174,"Parcel tape",9833,8017
175,"Board game",8960,9673
176,"Gift wrap",628,9480
177,"Tracing paper",7332,4186
178,"Hole puncher",4369,1868
179,"Plastic gloves",5150,404
180,Letter,7597,7124
181,"Paper shredder",1872,5451
182,"Patterned paper",34,92
183,"Colored pencils",3768,4069
184,"Bottle caps",5129,2019
185,"Carbon paper",996,371
186,DVD,5302,8098
187,Undisclosed,9695,6747
188,"Plastic straws",1869,1167
189,"Fountain pen",4768,3589
190,"Embroidery hoop",3900,3275
191,Feathers,4466,9058
192,"Ribbon cutter",3679,102
193,"Wooden dowels",7532,9700
194,"Drawing paper",5240,9555
195,"Drawing paper",4057,7880
196,"Calligraphy set",1663,9533
197,Crayons,2856,4614
198,Postcard,6768,6067
199,"Ballpoint pen",8158,8102
200,Stencils,1270,7479
201,"Jewelry findings",1171,9173
202,Highlighters,1908,1234
203,"Tracing paper",5455,2665
204,"Plastic containers",273,9156
205,"Tissue paper",1702,839
206,"Art supplies",5843,3946
207,"Toilet paper rolls",1777,5081
208,"Plastic bottles",4917,1529
209,"Popsicle sticks",4508,8984
210,"Felt sheets",6614,3186
211,"Drawing paper",7632,5504
212,Glitter,8166,603
213,"Watercolor paper",4611,6755
214,"Plastic containers",8390,8889
215,"Coloring book",5493,1564
216,"Comic book",6183,8036
217,"Tissue paper",9027,5153
218,"Craft punches",6764,9792
219,"Cotton balls",7107,1141
220,Glitter,3048,505
221,"Paper towels",1322,1028
222,Sequins,9,7919
223,"Envelop opener",7590,8321
224,Folders,7449,8742
225,"Plastic lids",391,6866
226,"Address labels",4200,8176
227,"Art prints",7671,8247
228,"Mouse pad",5364,7135
229,"Craft punches",6626,4243
230,"Gel pens",3821,991
231,Glitter,2275,556
232,"Glitter glue",7538,5748
233,"Embossing tool",9633,4223
234,"Plastic containers",4907,7
235,"Drawing paper",1084,2627
236,"Pencil sharpener",2425,4046
237,"Plastic gloves",2576,3034
238,Clothespins,282,8465
239,"Craft punches",6374,856
240,"Cardboard boxes",6865,2848
241,"Laundry detergent",8794,4798
242,"Quilting thread",1118,9647
243,"Fabric scissors",364,1424
244,Newspaper,9414,2303
245,"Embroidery floss",7743,105
246,Envelopes,3812,3862
247,"Watercolor paper",2768,9902
248,"Recipe cards",9025,314
249,"Construction paper",2248,4833
250,"Ink pad",5335,6702
251,"Postage stamps",7086,7569
252,"Sticker book",9215,7015
253,"Wax seals",4388,2932
254,DVD,5618,3159
255,Pom-poms,9970,413
256,Photographs,4106,7611
257,"Colored cardstock",792,2336
258,"Tissue paper",2712,2142
259,"Craft kit",437,9438
260,"Scrapbook paper",4158,868
261,"Envelop opener",1255,103
262,"Sketching set",8911,6171
263,"Paper plates",6106,5851
264,Ruler,9943,6533
265,"Postage stamps",2345,5685
266,"Plastic wrap",303,1453
267,"Desk organizer",4187,644
268,"Craft adhesive",4205,5459
269,"Colored pencils",3132,9691
270,"Dish soap",4028,5756
271,"Sudoku puzzle",6379,5574
272,Ruler,5642,2461
273,"Index cards",6368,5638
274,Bookmark,253,7707
275,"Embroidery floss",1390,2339
276,"Mechanical eraser",4512,8849
277,"Writing desk",6604,125
278,"Plastic wrap",2779,7270
279,Undisclosed,3216,2675
280,"Paper clips",6608,6224
281,Glitter,5424,8573
282,"Fabric scissors",1291,3531
283,Newspaper,2866,3184
284,"Plastic bottles",7467,1190
285,"Egg cartons",9526,5134
286,CD,1423,7566
287,Ribbons,4962,7582
288,"Coloring book",4167,9714
289,"Colored cardstock",6905,1398
290,"Glue stick",1744,1769
291,"Quilting ruler",5926,8470
292,Folders,4986,6704
293,"Paper plates",9636,7548
294,"Craft punches",7452,8716
295,"Desk lamp",9815,6279
296,Stencils,6426,1155
297,"Address labels",995,9141
298,"Craft kit",913,1809
299,"Washi tape",7847,4243
300,Envelopes,9746,8737
301,Calculator,5812,8756
302,"Colored cardstock",4907,963
303,"Graph paper",9860,6419
304,Broom,4045,8684
305,"Wooden dowels",4203,8845
306,"Crepe paper",3895,1806
307,Envelopes,523,8093
308,"Shipping labels",1950,9979
309,"Rubber gloves",4996,6173
310,"Glitter glue",4439,5098
311,Highlighters,1730,949
312,"Knitting needles",4072,1302
313,"Stationery set",8664,2792
314,Pom-poms,223,289
315,Undisclosed,9302,8605
316,"Washi tape",1545,6451
317,"Colored pencils",6930,1113
318,Undisclosed,5048,7581
319,"Garbage bin",4828,5398
320,"Craft kit",7517,9242
321,"Mechanical pencil",8740,9122
322,"Comic book",9414,4969
323,"Elastic bands",7753,8279
324,"Foam sheets",1433,1124
325,"Sudoku puzzle",4076,4342
326,"Sealing wax",1376,15
327,"Laundry detergent",997,6548
328,"Toilet paper rolls",789,6047
329,"Sealing wax",9615,6248
330,"Graph paper",8296,1675
331,"Parcel tape",5793,5405
332,"Craft sticks",763,2196
333,"Plastic wrap",3812,4617
334,"Recipe cards",940,7575
335,Markers,2691,4165
336,"Sewing machine needles",5261,4963
337,"Envelop opener",3664,6017
338,"Tracing paper",5199,8230
339,"Graph paper",362,8775
340,"Trash bags",4163,5473
341,"Knitting needles",8146,4229
342,String,510,4806
343,"Index cards",6126,3331
344,"Paper shredder",3099,698
345,"Watercolor paper",4495,7433
346,"Gel pens",3830,5992
347,"Paper shredder",5586,2591
348,"Snap fasteners",9544,4474
349,DVD,7924,9023
350,"Wine corks",1763,9116
351,"Glitter glue",1050,7727
352,"Bubble wrap",9417,4451
353,"Googly eyes",8478,5455
354,CD,7611,1018
355,"Coloring book",8133,1075
356,"Ink pad",4026,6451
357,"Paper plates",4902,5355
358,"Rollerball pen",4362,3344
359,"Embroidery floss",8301,2703
360,Bookmark,5177,2488
361,Chalk,2826,7598
362,"Glue stick",4159,2218
363,"Ziplock bags",613,9886
364,"Satin ribbons",841,7111
365,Postcard,4263,5104
366,"Craft punches",3993,7574
367,"Coloring book",3335,6377
368,"Art supplies",5654,4021
369,"Wooden dowels",412,8541
370,"Satin ribbons",5436,3039
371,"Bias tape",6227,108
372,"Egg cartons",9470,3137
373,Bows,6461,5483
374,"Quilting thread",2299,6142
375,String,9412,7423
376,"Craft scissors",6233,3005
377,"Popsicle sticks",8964,52
378,"Iron-on patches",156,282
379,Scissors,5032,4025
380,"Aluminum foil",7734,5788
381,"Foam sheets",6304,4633
382,"Rollerball pen",986,7768
383,Crayons,2520,3899
384,"Congratulatory letter",432,854
385,"Scrapbooking materials",7653,7015
386,"Label maker",5878,4631
387,"Push pins",7470,562
388,Pom-poms,890,5926
389,Ruler,6646,2017
390,"Knitting needles",6018,4191
391,"Cardboard boxes",7487,2239
392,CD,5669,4099
393,"Desk organizer",7252,3281
394,"Cotton balls",6227,8005
395,"Embroidery floss",5007,7236
396,"Paper towels",7232,7477
397,"Postage stamps",6508,8441
398,"Jigsaw puzzle",6899,9468
399,"Hook and loop tape",8478,6586
400,"Patterned paper",1782,7646
401,"Pencil sharpener",2333,9529
402,Yarn,792,7454
403,"Iron-on patches",1470,4366
404,"Sealing wax",6731,8728
405,"Gift wrap",816,214
406,"Wooden beads",7263,6196
407,"Label maker",6079,743
408,"Postage stamps",2556,9943
409,"Cross-stitch kit",8084,6872
410,"Address labels",1008,5914
411,"Tracing paper",6206,3541
412,"Cardboard tubes",2633,3670
413,Broom,3262,2305
414,"Writing utensils",3035,7219
415,"Watercolor paper",8027,303
416,"Paper clips",7430,8890
417,"Sewing needles",6344,1661
418,Feathers,5343,3309
419,"Colored pencils",2312,5773
420,Letter,8775,9084
421,"Art supplies",8469,8560
422,Poster,8712,5060
423,"Snap fasteners",1213,7406
424,"Sketching set",5135,3717
425,"Garbage bin",1664,7463
426,"Garbage bin",9350,5487
427,"Jigsaw puzzle",429,860
428,"Sewing needles",6140,1662
429,"Cardboard boxes",6750,215
430,"Ironing board",2229,8267
431,"Rubber bands",6245,5257
432,"Shipping labels",8178,3239
433,"Puzzle book",6632,5492
434,"Painting set",1362,6466
435,"Cardboard tubes",9367,5873
436,"Plastic lids",3316,3345
437,Sketchpad,8693,4337
438,"Shipping labels",5295,2455
439,Markers,7717,4922
440,"Address labels",9468,3161
441,"Laundry detergent",5416,947
442,"Postage meter",6248,6401
443,"Recipe cards",1140,7815
444,Sandpaper,7066,4136
445,"Coloring book",437,7217
446,"Bias tape",7934,8711
447,"Craft sticks",4689,4423
448,"Letter opener",9448,2173
449,Corkboard,6517,2272
450,"Googly eyes",5079,3796
451,Magazine,408,1417
452,"File organizers",4376,471
453,Paperweight,4480,7030
454,"Packing peanuts",7870,4485
455,"Popsicle sticks",9393,9057
456,"Label maker",8761,7573
457,Corkboard,3008,2927
458,Mop,6905,4148
459,Buttons,7055,4627
460,"Rollerball pen",3097,9500
461,"Glue stick",37,3465
462,Book,5086,2518
463,Sketchpad,9266,4170
464,"Heat gun",1838,7068
465,"Embossing tool",7484,7046
466,Ribbons,9702,4904
467,"Fabric glue",5771,7534
468,"Sewing machine needles",3373,3575
469,"Ziplock bags",7122,1592
470,"Address labels",300,5440
471,"Embossing tool",499,6586
472,"Glue stick",4040,8372
473,"Jigsaw puzzle",9999,1390
474,"Watercolor paper",195,9281
475,"Patterned paper",5906,3448
476,Ribbons,8005,9180
477,"Glitter glue",5351,2298
478,"Cleaning brush",3246,9982
479,"Quilting ruler",3364,6676
480,"Activity book",9323,8834
481,"Shipping labels",4635,2211
482,"Packing peanuts",3795,8465
483,"Hole puncher",1848,5189
484,"Paper shredder",3433,8626
485,"Tissue paper",1493,5452
486,"Glitter glue",9462,2073
487,"Plastic gloves",2545,7173
488,"Painting set",9984,3465
489,"Sewing needles",3362,2346
490,"Trading cards",1188,4459
491,"Modeling clay",2486,7122
492,"Rubber duck",92,8934
493,"Watercolor paper",4093,2943
494,Beads,3615,2506
495,"Trading cards",9980,5053
496,"Iron-on patches",3782,7729
497,"Playing cards",9880,5434
498,"Parcel tape",5986,3458
499,"Gift bags",3252,8548
500,"Paper shredder",6357,4365
501,"Sewing needles",5784,1711
502,"Plastic lids",3518,1148
503,"Wooden dowels",5522,7505
504,"Shipping labels",5887,4174
505,"Cross-stitch kit",3036,935
506,"Sewing needles",573,3166
507,"Sewing thread",1951,5693
508,Shears,7398,68
509,Chalk,6529,7450
510,"Gift wrap",9922,9170
511,Map,8373,6041
512,"Activity book",6720,5816
513,"Plastic containers",8739,9803
514,Clothespins,5582,9036
515,Eraser,1382,679
516,"Scrapbook paper",1426,6169
517,Shears,5887,9844
518,"Gel pens",895,5424
519,"Plastic wrap",4415,5378
520,"Embroidery hoop",8586,1707
521,"Scrapbook paper",1671,4028
522,"Colored pencils",9668,1946
523,Sponges,3931,7999
524,Protractor,3320,8844
525,Stapler,7609,8416
526,"Measuring tape",7737,9115
527,"Colored cardstock",151,9043
528,"Paper shredder",205,5713
529,"Card game",1296,3761
530,"Quilting ruler",8614,3783
531,Apron,3404,323
532,"Colored cardstock",8142,5532
533,"Pencil sharpener",1511,4227
534,"Newsprint paper",5517,892
535,"Binder clips",6879,3655
536,"Playing cards",65,9612
537,"Snap fasteners",7592,1645
538,"Crochet hooks",9426,2147
539,"Trading cards",9627,291
540,Scissors,7199,755
541,"Craft adhesive",5715,4569
542,"Board game",4247,3195
543,"Craft foam",8067,9494
544,"Wax seals",8970,2800
545,"Greeting card",9769,7574
546,"Cross-stitch kit",4840,1959
547,"Writing desk",15,1043
548,"Wooden dowels",2989,3257
549,"Glue stick",3947,7914
550,"Foam sheets",7685,1131
551,"Rubber bands",7784,5483
552,"Ribbon cutter",6228,5612
553,Bookmark,7382,6282
554,"Embroidery hoop",4814,7439
555,"Sewing needles",9098,363
556,"Rollerball pen",8790,8718
557,"Crochet hooks",2381,3048
558,"Rubber gloves",3366,2925
559,"Wooden dowels",3389,1953
560,"Fabric markers",1968,1842
561,"Tape dispenser",7569,7944
562,"Egg cartons",5883,6411
563,"Hole puncher",8257,1051
564,"Embroidery hoop",6479,4716
565,"Cotton balls",3982,9301
566,"Calligraphy pen",984,3955
567,"Calligraphy pen",7667,8294
568,Apron,5701,5710
569,Pom-poms,6119,9727
570,Sequins,3992,9732
571,"Fabric glue",765,8296
572,"Watercolor paper",7482,7668
573,CD,9714,6843
574,Sandpaper,8349,1116
575,"Embroidery floss",5857,2678
576,"Storage boxes",8537,5436
577,"Washi tape",2098,8930
578,"Popsicle sticks",4609,7837
579,"Shipping labels",1304,8338
580,"Wine corks",5649,1226
581,Glitter,68,3457
582,"Wax seals",5163,8230
583,Paperweight,3446,4334
584,"Drawing paper",6805,8305
585,"Scrapbooking materials",3781,4969
586,"Sticky notes",8431,3981
587,Undisclosed,5541,6052
588,"Garbage bin",1074,5859
589,"Popsicle sticks",7157,7227
590,"Wine corks",7697,4244
591,"Craft adhesive",593,2671
592,Map,1037,6459
593,"Sewing needles",8781,3872
594,Zippers,2248,4266
595,"Art prints",9082,9498
596,"Recipe cards",7653,1286
597,"Postage meter",2289,633
598,Corkboard,162,5414
599,"Iron-on patches",5781,910
600,"Jewelry findings",7958,4499
601,"Sticky notes",5957,4207
602,"Writing desk",2010,419
603,Buttons,5983,781
604,Stencils,5039,544
605,"Egg cartons",1388,9399
606,Mop,467,847
607,"Cardboard tubes",8138,976
608,"Cleaning cloths",3623,4929
609,"Measuring tape",6275,331
610,"Recipe cards",4904,7538
611,Beads,7041,5391
612,"Bulletin board",1452,9215
613,Broom,2099,3247
614,Paperweight,1696,4291
615,"Craft punches",4201,9459
616,"Embossing tool",6406,9116
617,"Pipe cleaners",421,8882
618,Corkboard,7747,6928
619,Zippers,4024,2998
620,"Quilting fabric",6060,293
621,"Bubble wrap",5786,7004
622,"Scrapbooking materials",7196,42
623,"Desk organizer",8501,8280
624,Notebook,6329,9423
625,"Wax seals",9883,7658
626,"Stationery set",660,4596
627,"Art prints",5772,4810
628,"Plastic straws",8700,3933
629,"Desk lamp",3397,6332
630,"Gel pens",1784,7118
631,"Trading cards",6021,5158
632,"Bulletin board",25,9076
633,Sequins,431,4740
634,Markers,8830,7968
635,"Plastic straws",2000,3125
636,"Foam sheets",2796,9555
637,"Pipe cleaners",8136,8020
638,Crayons,8887,1152
639,Ruler,7326,3096
640,"Fabric scissors",6241,4834
641,"Coloring book",2238,256
642,"Foam sheets",2651,6891
643,"Storage boxes",9667,7048
644,"Trash bags",65,6833
645,"Paper towels",2090,9380
646,"Envelop opener",423,2289
647,"Patterned paper",6610,5548
648,"Sticker book",5627,4112
649,"Scrapbooking materials",2094,1355
650,Calendar,5762,4973
651,Stapler,1669,7251
652,"Bias tape",3681,6350
653,Dustpan,1358,1276
654,"Ink pad",9466,9357
655,"Desk organizer",2786,9660
656,"Mechanical pencil",8500,1234
657,"Writing utensils",8695,4570
658,"Mechanical pencil",4027,2480
659,"Quilting thread",6179,8265
660,"Cleaning cloths",8321,4960
661,"Sketching set",4575,2378
662,"Wine corks",9894,5045
663,Corkboard,270,9580
664,"Gift bags",4001,5749
665,Feathers,3766,7748
666,"Craft punches",4646,999
667,"Embossing tool",7346,5724
668,"Bias tape",1057,6984
669,"Newsprint paper",9212,7559
670,Yarn,4608,1233
671,Pom-poms,6212,9760
672,Stamps,1081,3102
673,Mop,2491,9130
674,"Safety scissors",1172,5120
675,Scissors,9398,9807
676,"Glitter glue",9339,2594
677,"Fountain pen",9885,104
678,"Craft kit",9477,168
679,"Bubble wrap",1001,452
680,"Bias tape",5725,6495
681,"Wooden dowels",745,4432
682,"Comic book",2915,187
683,"Colored pencils",3222,2263
684,Paperweight,9960,7274
685,"Wax seals",4552,5577
686,"Fabric scissors",8511,3285
687,"Iron-on patches",1008,6100
688,Glitter,3818,3533
689,"Sticky notes",1548,9143
690,"Dish soap",7550,1991
691,"Address labels",3337,12
692,"Hole puncher",5441,5440
693,"Ribbon cutter",3028,7323
694,"Craft scissors",5922,1704
695,"Drawing paper",3127,4407
696,Pom-poms,8020,7182
697,Notebook,1386,9917
698,Pom-poms,3993,5560
699,Highlighters,1877,1907
700,"Quilting ruler",6537,6927
701,"Sudoku puzzle",8909,6395
702,Sketchpad,5149,6675
703,"Stationery set",2544,5632
704,Chalk,6591,6725
705,"Origami paper",8238,609
706,"Bulletin board",4882,9393
707,"Glitter glue",8887,511
708,"Tracing paper",5292,9377
709,Chalk,2608,1080
710,"Aluminum foil",3896,6215
711,Letter,9739,4529
712,"Rubber bands",2325,4840
713,"Painting set",2797,8739
714,"Label maker",3843,2031
715,"Index cards",3878,5568
716,"Sewing needles",5735,8234
717,Paperweight,9428,1394
718,"Index cards",6782,7506
719,"Scrapbooking materials",3166,6930
720,Sandpaper,2155,3257
721,"Sealing wax",6713,5607
722,"Tissue paper",8062,8940
723,Sandpaper,9190,2686
724,"Coloring book",1669,6266
725,"Mouse pad",6844,4281
726,"Glue stick",4557,4751
727,"Card game",8439,8610
728,Clothespins,1594,19
729,"Comic book",6707,5443
730,"Binder clips",1290,1033
731,"Greeting card",8048,9498
732,Highlighters,9679,8657
733,DVD,6561,1673
734,"Brain teaser",1594,6892
735,Highlighters,8060,1850
736,Folders,6287,8379
737,"Calligraphy pen",1373,656
738,"Rubber duck",3251,188
739,"Address labels",783,8384
740,"Plastic containers",496,8568
741,Pom-poms,7314,2327
742,"Cleaning brush",2484,2434
743,"Paper plates",9458,5674
744,"Aluminum foil",9403,3194
745,Glitter,5457,606
746,"Laundry detergent",5107,3584
747,Clothespins,1702,5253
748,"Quilting ruler",6172,1000
749,"Drawing compass",5223,6958
750,"Card game",8155,7984
751,Corkboard,8535,4731
752,"Gel pens",7945,334
753,Glitter,7515,5102
754,"Bubble wrap",9831,4218
755,"Postage meter",4171,6521
756,"Quilting fabric",5419,9827
757,Map,6314,1200
758,"Stationery set",3013,808
759,"Newsprint paper",4981,57
760,Bookmark,6739,9939
761,"Origami paper",8218,6802
762,Sandpaper,7810,1369
763,"Packing peanuts",4467,5592
764,"Googly eyes",1549,1860
765,"Coloring book",2524,9220
766,"Tissue paper",9516,5982
767,"Hole puncher",4263,2346
768,"Ink pad",8054,5809
769,"File organizers",3879,980
770,"Decorative paper",135,4214
771,"Plastic lids",3130,2137
772,"Origami kit",9075,234
773,Crayons,8546,2705
774,"Stationery set",9589,7971
775,"Dryer sheets",1650,9544
776,"Bulletin board",534,7245
777,"Quilting thread",2232,469
778,Feathers,7143,4347
779,"Trading cards",2,1900
780,"Postage stamps",4554,8663
781,"Watercolor paper",7256,5285
782,"Newsprint paper",9217,5424
783,Undisclosed,1933,4868
784,Glitter,6935,80
785,"Craft adhesive",1975,3999
786,"Fabric scissors",4116,9809
787,"Plastic containers",4250,4046
788,Stapler,229,2132
789,"Elastic bands",3929,8695
790,Letter,9010,8660
791,Shears,3350,2214
792,"Tissue paper",839,5075
793,"Mouse pad",4727,625
794,"Origami paper",6877,2569
795,"Index cards",2984,4765
796,Journal,6100,1693
797,"Writing utensils",9791,5800
798,"Googly eyes",1804,2584
799,"USB drive",2857,4872
800,Pom-poms,4018,7607
801,"Ribbon cutter",8923,2706
802,Undisclosed,7325,9367
803,"Paper towels",8903,6142
804,"Elastic bands",7827,2559
805,"Scrapbook paper",8508,1182
806,"Plastic straws",2223,9181
807,"Wine corks",6677,1268
808,Glitter,940,8976
809,Poster,1477,9650
810,"Ballpoint pen",2305,915
811,"Safety scissors",4745,4853
812,"Plastic straws",1053,2474
813,"Tape dispenser",7676,312
814,"Storage boxes",3881,7104
815,"Popsicle sticks",5071,1741
816,"Embroidery hoop",8250,3673
817,"Comic book",7628,7368
818,Envelopes,4876,4545
819,"Embossing tool",6616,5560
820,"Craft kit",4487,5595
821,"Sealing wax",1903,8085
822,"Plastic containers",5468,8593
823,Sponges,8147,373
824,Feathers,5297,4918
825,"Measuring tape",6101,7789
826,"Bias tape",623,2436
827,"Drawing compass",1896,537
828,"Craft sticks",3374,2806
829,"Plastic gloves",277,9765
830,"Quilting fabric",9830,4866
831,"Cross-stitch kit",1047,9857
832,"Bias tape",5403,2430
833,"Dish soap",4436,2401
834,Pom-poms,6071,5667
835,Pom-poms,4025,4060
836,"Bubble wrap",2432,584
837,"Label maker",420,8329
838,"Measuring tape",529,3686
839,"Quilting fabric",3616,2784
840,"Art prints",6179,9443
841,"Egg cartons",732,5830
842,"Quilting fabric",9672,5014
843,Bows,3566,6749
844,"Writing utensils",167,5629
845,"Address labels",8591,9220
846,"Craft punches",6950,1974
847,"Gift wrap",7924,733
848,"Rubber duck",8649,5648
849,"Garbage bin",6748,1456
850,"Rubber bands",7363,8782
851,"Plastic lids",2376,6226
852,"Gift bags",2169,5361
853,Bookmark,4501,7803
854,"Sudoku puzzle",5483,4021
855,"Bias tape",328,9690
856,Book,2707,601
857,"Sticker book",9987,8377
858,"Gel pens",850,5293
859,"Scrapbooking materials",4097,7270
860,"Sewing thread",8557,3752
861,"Patterned paper",8819,9322
862,"Cardboard tubes",1805,2241
863,"Tissue paper",6457,4767
864,"Plastic lids",5231,8554
865,Calculator,952,3181
866,"Craft scissors",9419,9247
867,"Ballpoint pen",4142,9289
868,"Rubber gloves",55,3170
869,Newspaper,8860,9755
870,"Popsicle sticks",2902,8329
871,"Wax seals",2320,2118
872,"Elastic bands",4701,2916
873,"Paper clips",8899,6882
874,"Jigsaw puzzle",3497,9563
875,"Parcel tape",4625,8839
876,"Rubber gloves",1049,8932
877,Chalk,5273,4262
878,Crayons,7338,380
879,CD,4812,9529
880,Chalkboard,3592,3564
881,"Knitting needles",8026,7020
882,Sponges,5270,9495
883,"Letter opener",1093,6272
884,"Foam sheets",3263,7904
885,"Tissue paper",4478,8534
886,"Paper plates",5536,7953
887,"Glue stick",5907,4499
888,"Letter opener",2233,1490
889,"Trading cards",2257,5364
890,Bookmark,5840,1582
891,"Craft adhesive",1652,1389
892,"Postage stamps",4386,2345
893,"Ziplock bags",7611,2129
894,"Desk organizer",6515,5600
895,"Desk lamp",7201,3156
896,"Plastic wrap",8864,3125
897,"Knitting needles",9964,3843
898,Ribbons,7729,9432
899,"Construction paper",9289,8236
900,"Plastic gloves",9429,5124
901,"Carbon paper",5701,2209
902,Calculator,6745,1564
903,Yarn,2962,4183
904,"Binder clips",6844,4651
905,"Gift bags",9538,5236
906,"Sketching set",9475,399
907,Chalkboard,2228,2753
908,"Embroidery floss",5212,3324
909,"Plastic containers",7491,5167
910,"Watercolor paper",5648,8226
911,"Ribbon cutter",2306,8192
912,"USB drive",486,4826
913,Whiteboard,2323,334
914,Map,7643,729
915,"File organizers",4776,6530
916,"Desk lamp",7098,9082
917,Bookmark,3983,8402
918,"Fabric scissors",8194,2797
919,"Plastic containers",7194,448
